,1,2,3,4,5,6
Mon,CST405,CST405,CST405,CST405,CST409,CST409,
Tue,CST409,CST403,CST403,CST403,CST403,CST407,
Wed,FREE,FREE,CST407,CST407,FREE,CST413,
Thu,CST411,CST413,FREE,CST411,FREE,FREE,
Fri,CST407,FREE,CST401,CST401,CST401,CST401,
