,1,2,3,4,5,6
Mon,CST305,CST305,CST305,CST309,CST305,CST309,
Tue,CST309,CST311,CST311,CST307,CST301,CST303,
Wed,CST301,FREE,CST313,CST301,FREE,CST303,
Thu,CST303,FREE,FREE,CST307,CST307,CST301,
Fri,FREE,CST307,FREE,CST303,FREE,CST313,
