,1,2,3,4,5,6
Mon,CST111,CST103,CST105,CST111,CST101,CST101,
Tue,CST101,CST101,CST103,CST105,CST109,CST107,
Wed,FREE,CST105,CST109,CST103,CST103,FREE,
Thu,CST107,CST107,FREE,CST105,FREE,FREE,
Fri,FREE,CST107,FREE,FREE,CST113,CST113,
