,1,2,3,4,5,6
Mon,FREE,FREE,FREE,FREE,CS-4-A-CST409,CS-4-A-CST409,
Tue,CS-4-A-CST409,FREE,FREE,FREE,FREE,FREE,
Wed,FREE,FREE,FREE,FREE,FREE,FREE,
Thu,FREE,FREE,FREE,FREE,FREE,FREE,
Fri,FREE,FREE,FREE,FREE,FREE,FREE,
